NAME_1,NAME_2,ADM1_EN,ADM2_EN,ADM1_UA,ADM2_UA,ADM1_PCODE,ADM2_PCODE
?,?,Kyiv,Kyiv,Київ,Київ,UA80,UA8000
Cherkasy,Cherkas'ka,Cherkaska,Cherkaskyi,Черкаська,Черкаський,UA71,UA7108
Cherkasy,Cherkas'kyi,Cherkaska,Cherkaskyi,Черкаська,Черкаський,UA71,UA7108
Cherkasy,Chornobaivs'kyi,Cherkaska,Zolotoniskyi,Черкаська,Золотоніський,UA71,UA7104
Cherkasy,Chyhyryns'kyi,Cherkaska,Cherkaskyi,Черкаська,Черкаський,UA71,UA7108
Cherkasy,Drabivs'kyi,Cherkaska,Zolotoniskyi,Черкаська,Золотоніський,UA71,UA7104
Cherkasy,Horodyshchens'kyi,Cherkaska,Cherkaskyi,Черкаська,Черкаський,UA71,UA7108
Cherkasy,Kamians'kyi,Cherkaska,Cherkaskyi,Черкаська,Черкаський,UA71,UA7108
Cherkasy,Kanivs'ka,Cherkaska,Cherkaskyi,Черкаська,Черкаський,UA71,UA7108
Cherkasy,Kanivs'kyi,Cherkaska,Cherkaskyi,Черкаська,Черкаський,UA71,UA7108
Cherkasy,Katerynopil's'kyi,Cherkaska,Zvenyhorodskyi,Черкаська,Звенигородський,UA71,UA7102
Cherkasy,Khrystynivs'kyi,Cherkaska,Umanskyi,Черкаська,Уманський,UA71,UA7106
Cherkasy,Korsun'-Shevchenkivs'kyi,Cherkaska,Cherkaskyi,Черкаська,Черкаський,UA71,UA7108
Cherkasy,Lysians'kyi,Cherkaska,Zvenyhorodskyi,Черкаська,Звенигородський,UA71,UA7102
Cherkasy,Man'kivs'kyi,Cherkaska,Umanskyi,Черкаська,Уманський,UA71,UA7106
Cherkasy,Monastyryshchens'kyi,Cherkaska,Umanskyi,Черкаська,Уманський,UA71,UA7106
Cherkasy,Shpolians'kyi,Cherkaska,Zvenyhorodskyi,Черкаська,Звенигородський,UA71,UA7102
Cherkasy,Smilians'kyi,Cherkaska,Cherkaskyi,Черкаська,Черкаський,UA71,UA7108
Cherkasy,Tal'nivs'kyi,Cherkaska,Zvenyhorodskyi,Черкаська,Звенигородський,UA71,UA7102
Cherkasy,Umans'ka,Cherkaska,Umanskyi,Черкаська,Уманський,UA71,UA7106
Cherkasy,Umans'kyi,Cherkaska,Umanskyi,Черкаська,Уманський,UA71,UA7106
Cherkasy,Zhashkivs'kyi,Cherkaska,Umanskyi,Черкаська,Уманський,UA71,UA7106
Cherkasy,Zolotonis'kyi,Cherkaska,Zolotoniskyi,Черкаська,Золотоніський,UA71,UA7104
Cherkasy,Zvenyhorods'kyi,Cherkaska,Zvenyhorodskyi,Черкаська,Звенигородський,UA71,UA7102
Chernihiv,Bakhmats'kyi,Chernihivska,Nizhynskyi,Чернігівська,Ніжинський,UA74,UA7404
Chernihiv,Bobrovyts'kyi,Chernihivska,Nizhynskyi,Чернігівська,Ніжинський,UA74,UA7404
Chernihiv,Borznians'kyi,Chernihivska,Nizhynskyi,Чернігівська,Ніжинський,UA74,UA7404
Chernihiv,Chernihivs'ka,Chernihivska,Chernihivskyi,Чернігівська,Чернігівський,UA74,UA7410
Chernihiv,Chernihivs'kyi,Chernihivska,Chernihivskyi,Чернігівська,Чернігівський,UA74,UA7410
Chernihiv,Horodnians'kyi,Chernihivska,Chernihivskyi,Чернігівська,Чернігівський,UA74,UA7410
Chernihiv,Ichnians'kyi,Chernihivska,Prylutskyi,Чернігівська,Прилуцький,UA74,UA7408
Chernihiv,Koriukivs'kyi,Chernihivska,Koriukivskyi,Чернігівська,Корюківський,UA74,UA7402
Chernihiv,Korops'kyi,Chernihivska,Novhorod-Siverskyi,Чернігівська,Новгород-Сіверський,UA74,UA7406
Chernihiv,Kozelets'kyi,Chernihivska,Chernihivskyi,Чернігівська,Чернігівський,UA74,UA7410
Chernihiv,Kulykivs'kyi,Chernihivska,Chernihivskyi,Чернігівська,Чернігівський,UA74,UA7410
Chernihiv,Mens'kyi,Chernihivska,Koriukivskyi,Чернігівська,Корюківський,UA74,UA7402
Chernihiv,Nizhyns'ka,Chernihivska,Nizhynskyi,Чернігівська,Ніжинський,UA74,UA7404
Chernihiv,Nizhyns'kyi,Chernihivska,Nizhynskyi,Чернігівська,Ніжинський,UA74,UA7404
Chernihiv,Nosivs'kyi,Chernihivska,Nizhynskyi,Чернігівська,Ніжинський,UA74,UA7404
Chernihiv,Novhorod-Sivers'kyi,Chernihivska,Novhorod-Siverskyi,Чернігівська,Новгород-Сіверський,UA74,UA7406
Chernihiv,Pryluts'ka,Chernihivska,Prylutskyi,Чернігівська,Прилуцький,UA74,UA7408
Chernihiv,Pryluts'kyi,Chernihivska,Prylutskyi,Чернігівська,Прилуцький,UA74,UA7408
Chernihiv,Ripkyns'kyi,Chernihivska,Chernihivskyi,Чернігівська,Чернігівський,UA74,UA7410
Chernihiv,Semenivs'kyi,Chernihivska,Novhorod-Siverskyi,Чернігівська,Новгород-Сіверський,UA74,UA7406
Chernihiv,Shchors'kyi,Chernihivska,Koriukivskyi,Чернігівська,Корюківський,UA74,UA7402
Chernihiv,Sosnyts'kyi,Chernihivska,Koriukivskyi,Чернігівська,Корюківський,UA74,UA7402
Chernihiv,Sribnians'kyi,Chernihivska,Prylutskyi,Чернігівська,Прилуцький,UA74,UA7408
Chernihiv,Talala‹vs'kyi,Chernihivska,Prylutskyi,Чернігівська,Прилуцький,UA74,UA7408
Chernihiv,Varvyns'kyi,Chernihivska,Prylutskyi,Чернігівська,Прилуцький,UA74,UA7408
Chernivtsi,Chernivets'ka,Chernivetska,Chernivetskyi,Чернівецька,Чернівецький,UA73,UA7306
Chernivtsi,Hlybots'kyi,Chernivetska,Chernivetskyi,Чернівецька,Чернівецький,UA73,UA7306
Chernivtsi,Kel'menets'kyi,Chernivetska,Dnistrovskyi,Чернівецька,Дністровський,UA73,UA7304
Chernivtsi,Khotyns'kyi,Chernivetska,Dnistrovskyi,Чернівецька,Дністровський,UA73,UA7304
Chernivtsi,Kitsmans'kyi,Chernivetska,Chernivetskyi,Чернівецька,Чернівецький,UA73,UA7306
Chernivtsi,Novoselits'kyi,Chernivetska,Chernivetskyi,Чернівецька,Чернівецький,UA73,UA7306
Chernivtsi,Putyl's'kyi,Chernivetska,Vyzhnytskyi,Чернівецька,Вижницький,UA73,UA7302
Chernivtsi,Sokyrians'kyi,Chernivetska,Dnistrovskyi,Чернівецька,Дністровський,UA73,UA7304
Chernivtsi,Storozhynets'kyi,Chernivetska,Chernivetskyi,Чернівецька,Чернівецький,UA73,UA7306
Chernivtsi,Vyzhnyts'kyi,Chernivetska,Vyzhnytskyi,Чернівецька,Вижницький,UA73,UA7302
Chernivtsi,Zastavnets'kyi,Chernivetska,Chernivetskyi,Чернівецька,Чернівецький,UA73,UA7306
Crimea,Alushtyns'ka,Autonomous Republic of Crimea,Yaltynskyi,Автономна Республіка Крим,Ялтинський,UA01,UA0120
Crimea,Bakhchysarais'kyi,Autonomous Republic of Crimea,Bakhchysaraiskyi,Автономна Республіка Крим,Бахчисарайський,UA01,UA0102
Crimea,Bilohirs'kyi,Autonomous Republic of Crimea,Bilohirskyi,Автономна Республіка Крим,Білогірський,UA01,UA0104
Crimea,Chornomors'kyi,Autonomous Republic of Crimea,Yevpatoriiskyi,Автономна Республіка Крим,Євпаторійський,UA01,UA0108
Crimea,Dzhankois'ka,Autonomous Republic of Crimea,Dzhankoiskyi,Автономна Республіка Крим,Джанкойський,UA01,UA0106
Crimea,Dzhankois'kyi,NA,NA,NA,NA,NA,NA
Crimea,Feodosiis'ka,Autonomous Republic of Crimea,Feodosiiskyi,Автономна Республіка Крим,Феодосійський,UA01,UA0118
Crimea,Ialtyns'ka,Autonomous Republic of Crimea,Yaltynskyi,Автономна Республіка Крим,Ялтинський,UA01,UA0120
Crimea,Ievpatoriis'ka,Autonomous Republic of Crimea,Yevpatoriiskyi,Автономна Республіка Крим,Євпаторійський,UA01,UA0108
Crimea,Kerchens'ka,Autonomous Republic of Crimea,Kerchenskyi,Автономна Республіка Крим,Керченський,UA01,UA0110
Crimea,Kirovs'kyi,Autonomous Republic of Crimea,Feodosiiskyi,Автономна Республіка Крим,Феодосійський,UA01,UA0118
Crimea,Krasnohvardiis'kyi,Autonomous Republic of Crimea,Kurmanskyi,Автономна Республіка Крим,Курманський,UA01,UA0112
Crimea,Krasnoperekops'kyi,Autonomous Republic of Crimea,Perekopskyi,Автономна Республіка Крим,Перекопський,UA01,UA0114
Crimea,Lenins'kyi,Autonomous Republic of Crimea,Kerchenskyi,Автономна Республіка Крим,Керченський,UA01,UA0110
Crimea,Nyzhn'ohirs'kyi,Autonomous Republic of Crimea,Bilohirskyi,Автономна Республіка Крим,Білогірський,UA01,UA0104
Crimea,Pervomais'kyi,Autonomous Republic of Crimea,Kurmanskyi,Автономна Республіка Крим,Курманський,UA01,UA0112
Crimea,Rozdol'nens'kyi,Autonomous Republic of Crimea,Perekopskyi,Автономна Республіка Крим,Перекопський,UA01,UA0114
Crimea,Saks'ka,Autonomous Republic of Crimea,Yevpatoriiskyi,Автономна Республіка Крим,Євпаторійський,UA01,UA0108
Crimea,Saks'kyi,Autonomous Republic of Crimea,Yevpatoriiskyi,Автономна Республіка Крим,Євпаторійський,UA01,UA0108
Crimea,Simferopol's'ka,Autonomous Republic of Crimea,Simferopolskyi,Автономна Республіка Крим,Сімферопольський,UA01,UA0116
Crimea,Simferopol's'kyi,Autonomous Republic of Crimea,Simferopolskyi,Автономна Республіка Крим,Сімферопольський,UA01,UA0116
Crimea,Soviets'kyi,Autonomous Republic of Crimea,Feodosiiskyi,Автономна Республіка Крим,Феодосійський,UA01,UA0118
Crimea,Sudats'ka,Autonomous Republic of Crimea,Feodosiiskyi,Автономна Республіка Крим,Феодосійський,UA01,UA0118
Dnipropetrovs'k,Apostolivs'kyi,Dnipropetrovska,Kryvorizkyi,Дніпропетровська,Криворізький,UA12,UA1206
Dnipropetrovs'k,Dniprodzerzhyns'ka,Dnipropetrovska,Dniprovskyi,Дніпропетровська,Дніпровський,UA12,UA1202
Dnipropetrovs'k,Dnipropetrovs'ka,Dnipropetrovska,Dniprovskyi,Дніпропетровська,Дніпровський,UA12,UA1202
Dnipropetrovs'k,Dnipropetrovs'kyi,Dnipropetrovska,Dniprovskyi,Дніпропетровська,Дніпровський,UA12,UA1202
Dnipropetrovs'k,Iurïvs'kyi,Dnipropetrovska,Pavlohradskyi,Дніпропетровська,Павлоградський,UA12,UA1212
Dnipropetrovs'k,Krynychans'kyi,Dnipropetrovska,Kamianskyi,Дніпропетровська,Кам’янський,UA12,UA1204
Dnipropetrovs'k,Kryvoriz'kyi,Dnipropetrovska,Kryvorizkyi,Дніпропетровська,Криворізький,UA12,UA1206
Dnipropetrovs'k,KryvyiRig,Dnipropetrovska,Kryvorizkyi,Дніпропетровська,Криворізький,UA12,UA1206
Dnipropetrovs'k,Mahdalynivs'kyi,Dnipropetrovska,Novomoskovskyi,Дніпропетровська,Новомосковський,UA12,UA1210
Dnipropetrovs'k,Marhanets'ka,Dnipropetrovska,Nikopolskyi,Дніпропетровська,Нікопольський,UA12,UA1208
Dnipropetrovs'k,Mezhivs'kyi,Dnipropetrovska,Synelnykivskyi,Дніпропетровська,Синельниківський,UA12,UA1214
Dnipropetrovs'k,Nikopol's'ka,Dnipropetrovska,Nikopolskyi,Дніпропетровська,Нікопольський,UA12,UA1208
Dnipropetrovs'k,Nikopol's'kyi,Dnipropetrovska,Nikopolskyi,Дніпропетровська,Нікопольський,UA12,UA1208
Dnipropetrovs'k,Novomoskovs'ka,Dnipropetrovska,Novomoskovskyi,Дніпропетровська,Новомосковський,UA12,UA1210
Dnipropetrovs'k,Novomoskovs'kyi,Dnipropetrovska,Novomoskovskyi,Дніпропетровська,Новомосковський,UA12,UA1210
Dnipropetrovs'k,Ordzhonikidzevs'ka,Dnipropetrovska,Nikopolskyi,Дніпропетровська,Нікопольський,UA12,UA1208
Dnipropetrovs'k,Pavlograd,Dnipropetrovska,Pavlohradskyi,Дніпропетровська,Павлоградський,UA12,UA1212
Dnipropetrovs'k,Pavlohrads'kyi,Dnipropetrovska,Pavlohradskyi,Дніпропетровська,Павлоградський,UA12,UA1212
Dnipropetrovs'k,Petropavlivs'kyi,Dnipropetrovska,Synelnykivskyi,Дніпропетровська,Синельниківський,UA12,UA1214
Dnipropetrovs'k,Petrykivs'kyi,Dnipropetrovska,Dniprovskyi,Дніпропетровська,Дніпровський,UA12,UA1202
Dnipropetrovs'k,Piatykhats'kyi,Dnipropetrovska,Kamianskyi,Дніпропетровська,Кам’янський,UA12,UA1204
Dnipropetrovs'k,Pokrovs'kyi,Dnipropetrovska,Synelnykivskyi,Дніпропетровська,Синельниківський,UA12,UA1214
Dnipropetrovs'k,Shyrokivs'kyi,Dnipropetrovska,Kryvorizkyi,Дніпропетровська,Криворізький,UA12,UA1206
Dnipropetrovs'k,Sofi‹vs'kyi,Dnipropetrovska,Kryvorizkyi,Дніпропетровська,Криворізький,UA12,UA1206
Dnipropetrovs'k,Solonians'kyi,Dnipropetrovska,Dniprovskyi,Дніпропетровська,Дніпровський,UA12,UA1202
Dnipropetrovs'k,Synel'nykivs'ka,Dnipropetrovska,Synelnykivskyi,Дніпропетровська,Синельниківський,UA12,UA1214
Dnipropetrovs'k,Synel'nykivs'kyi,Dnipropetrovska,Synelnykivskyi,Дніпропетровська,Синельниківський,UA12,UA1214
Dnipropetrovs'k,Tomakivs'kyi,Dnipropetrovska,Nikopolskyi,Дніпропетровська,Нікопольський,UA12,UA1208
Dnipropetrovs'k,Tsarychans'kyi,Dnipropetrovska,Dniprovskyi,Дніпропетровська,Дніпровський,UA12,UA1202
Dnipropetrovs'k,Vasyl'kivs'kyi,Dnipropetrovska,Synelnykivskyi,Дніпропетровська,Синельниківський,UA12,UA1214
Dnipropetrovs'k,Verkhn'odniprovs'kyi,Dnipropetrovska,Kamianskyi,Дніпропетровська,Кам’янський,UA12,UA1204
Dnipropetrovs'k,Zhovtovods'ka,Dnipropetrovska,Kamianskyi,Дніпропетровська,Кам’янський,UA12,UA1204
Donets'k,Amvrosi‹vs'kyi,Donetska,Donetskyi,Донецька,Донецький,UA14,UA1408
Donets'k,Artemivs'ka,Donetska,Bakhmutskyi,Донецька,Бахмутський,UA14,UA1402
Donets'k,Artemivs'kyi,Donetska,Bakhmutskyi,Донецька,Бахмутський,UA14,UA1402
Donets'k,Dobropil's'ka,Donetska,Pokrovskyi,Донецька,Покровський,UA14,UA1416
Donets'k,Dobropil's'kyi,Donetska,Pokrovskyi,Донецька,Покровський,UA14,UA1416
Donets'k,Donets'ka,Donetska,Donetskyi,Донецька,Донецький,UA14,UA1408
Donets'k,Dzerzhyns'ka,Donetska,Pokrovskyi,Донецька,Покровський,UA14,UA1416
Donets'k,Horlivs'ka,Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Donets'k,Iasynuvats'ka,Donetska,Pokrovskyi,Донецька,Покровський,UA14,UA1416
Donets'k,Iasynuvats'kyi,Donetska,Pokrovskyi,Донецька,Покровський,UA14,UA1416
Donets'k,Ienakiievs'ka,Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Donets'k,Khartsyz'ka,Donetska,Donetskyi,Донецька,Донецький,UA14,UA1408
Donets'k,Kirovs'ka,Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Donets'k,Kostiantynivs'ka,Donetska,Kramatorskyi,Донецька,Краматорський,UA14,UA1412
Donets'k,Kostiantynivs'kyi,Donetska,Kramatorskyi,Донецька,Краматорський,UA14,UA1412
Donets'k,Kramators'ka,Donetska,Kramatorskyi,Донецька,Краматорський,UA14,UA1412
Donets'k,Krasnoarmiis'ka,Donetska,Pokrovskyi,Донецька,Покровський,UA14,UA1416
Donets'k,Krasnoarmiis'kyi,Donetska,Pokrovskyi,Донецька,Покровський,UA14,UA1416
Donets'k,Krasnolymans'ka,Donetska,Kramatorskyi,Донецька,Краматорський,UA14,UA1412
Donets'k,Krasnolymans'kyi,Donetska,Kramatorskyi,Донецька,Краматорський,UA14,UA1412
Donets'k,Maki‹vs'ka,Donetska,Donetskyi,Донецька,Донецький,UA14,UA1408
Donets'k,Mar‹ns'kyi,Donetska,Pokrovskyi,Донецька,Покровський,UA14,UA1416
Donets'k,Mariupol's'ka,Donetska,Mariupolskyi,Донецька,Маріупольський,UA14,UA1414
Donets'k,n.a. ( 181),Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Donets'k,n.a. ( 319),Donetska,Kramatorskyi,Донецька,Краматорський,UA14,UA1412
Donets'k,n.a. ( 384),Donetska,Kramatorskyi,Донецька,Краматорський,UA14,UA1412
Donets'k,n.a. ( 394),Donetska,Bakhmutskyi,Донецька,Бахмутський,UA14,UA1402
Donets'k,n.a. ( 488),Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Donets'k,n.a. ( 493),Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Donets'k,n.a. ( 511),Donetska,Donetskyi,Донецька,Донецький,UA14,UA1408
Donets'k,Novoazovs'kyi,Donetska,Kalmiuskyi,Донецька,Кальміуський,UA14,UA1410
Donets'k,Novohrodivs'ka,Donetska,Pokrovskyi,Донецька,Покровський,UA14,UA1416
Donets'k,Oleksandrivs'kyi,Donetska,Kramatorskyi,Донецька,Краматорський,UA14,UA1412
Donets'k,Pershotravnevyi,Donetska,Mariupolskyi,Донецька,Маріупольський,UA14,UA1414
Donets'k,Selydovs'ka,Donetska,Pokrovskyi,Донецька,Покровський,UA14,UA1416
Donets'k,Shakhtars'ka,Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Donets'k,Shakhtars'kyi,Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Donets'k,Slovians'ka,Donetska,Kramatorskyi,Донецька,Краматорський,UA14,UA1412
Donets'k,Slovians'kyi,Donetska,Kramatorskyi,Донецька,Краматорський,UA14,UA1412
Donets'k,Snizhnens'ka,Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Donets'k,Starobeshivs'kyi,Donetska,Kalmiuskyi,Донецька,Кальміуський,UA14,UA1410
Donets'k,Tel'manivs'kyi,Donetska,Volnovaskyi,Донецька,Волноваський,UA14,UA1404
Donets'k,Torez'ka,Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Donets'k,Velykonovosilkivs'kyi,Donetska,Volnovaskyi,Донецька,Волноваський,UA14,UA1404
Donets'k,Volnovas'kyi,Donetska,Volnovaskyi,Донецька,Волноваський,UA14,UA1404
Donets'k,Volodars'kyi,Donetska,Mariupolskyi,Донецька,Маріупольський,UA14,UA1414
Donets'k,Vuhledars'ka,Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Donets'k,Zhdanivs'ka,Donetska,Horlivskyi,Донецька,Горлівський,UA14,UA1406
Ivano-Frankivs'k,Bohorodchans'kyi,Ivano-Frankivska,Ivano-Frankivskyi,Івано-Франківська,Івано-Франківський,UA26,UA2604
Ivano-Frankivs'k,Dolyns'kyi,Ivano-Frankivska,Kaluskyi,Івано-Франківська,Калуський,UA26,UA2606
Ivano-Frankivs'k,Halyts'kyi,Ivano-Frankivska,Ivano-Frankivskyi,Івано-Франківська,Івано-Франківський,UA26,UA2604
Ivano-Frankivs'k,Horodenkivs'kyi,Ivano-Frankivska,Kolomyiskyi,Івано-Франківська,Коломийський,UA26,UA2608
Ivano-Frankivs'k,Iaremchans'ka,Ivano-Frankivska,Nadvirnianskyi,Івано-Франківська,Надвірнянський,UA26,UA2612
Ivano-Frankivs'k,Ivano-Frankivs'ka,Ivano-Frankivska,Ivano-Frankivskyi,Івано-Франківська,Івано-Франківський,UA26,UA2604
Ivano-Frankivs'k,Kalus'kyi,Ivano-Frankivska,Kaluskyi,Івано-Франківська,Калуський,UA26,UA2606
Ivano-Frankivs'k,Kolomyis'kyi,Ivano-Frankivska,Kolomyiskyi,Івано-Франківська,Коломийський,UA26,UA2608
Ivano-Frankivs'k,Kosivs'kyi,Ivano-Frankivska,Kosivskyi,Івано-Франківська,Косівський,UA26,UA2610
Ivano-Frankivs'k,Nadvirnians'kyi,Ivano-Frankivska,Nadvirnianskyi,Івано-Франківська,Надвірнянський,UA26,UA2612
Ivano-Frankivs'k,Rohatyns'kyi,Ivano-Frankivska,Ivano-Frankivskyi,Івано-Франківська,Івано-Франківський,UA26,UA2604
Ivano-Frankivs'k,Rozhniativs'kyi,Ivano-Frankivska,Kaluskyi,Івано-Франківська,Калуський,UA26,UA2606
Ivano-Frankivs'k,Sniatyns'kyi,Ivano-Frankivska,Kolomyiskyi,Івано-Франківська,Коломийський,UA26,UA2608
Ivano-Frankivs'k,Tlumats'kyi,Ivano-Frankivska,Ivano-Frankivskyi,Івано-Франківська,Івано-Франківський,UA26,UA2604
Ivano-Frankivs'k,Tysmenyts'kyi,Ivano-Frankivska,Ivano-Frankivskyi,Івано-Франківська,Івано-Франківський,UA26,UA2604
Ivano-Frankivs'k,Verkhovyns'kyi,Ivano-Frankivska,Verkhovynskyi,Івано-Франківська,Верховинський,UA26,UA2602
Kharkiv,Balakliis'kyi,Kharkivska,Iziumskyi,Харківська,Ізюмський,UA63,UA6304
Kharkiv,Barvinkivs'kyi,Kharkivska,Iziumskyi,Харківська,Ізюмський,UA63,UA6304
Kharkiv,Blyzniukivs'kyi,Kharkivska,Lozivskyi,Харківська,Лозівський,UA63,UA6310
Kharkiv,Bohodukhivs'kyi,Kharkivska,Bohodukhivskyi,Харківська,Богодухівський,UA63,UA6302
Kharkiv,Borivs'kyi,Kharkivska,Iziumskyi,Харківська,Ізюмський,UA63,UA6304
Kharkiv,Chuhu‹vs'ka,Kharkivska,Chuhuivskyi,Харківська,Чугуївський,UA63,UA6314
Kharkiv,Chuhu‹vs'kyi,Kharkivska,Chuhuivskyi,Харківська,Чугуївський,UA63,UA6314
Kharkiv,Derhachivs'kyi,Kharkivska,Kharkivskyi,Харківська,Харківський,UA63,UA6312
Kharkiv,Dvorichans'kyi,Kharkivska,Kupianskyi,Харківська,Куп'янський,UA63,UA6308
Kharkiv,Iziums'ka,Kharkivska,Iziumskyi,Харківська,Ізюмський,UA63,UA6304
Kharkiv,Iziums'kyi,Kharkivska,Iziumskyi,Харківська,Ізюмський,UA63,UA6304
Kharkiv,Kehychivs'kyi,Kharkivska,Krasnohradskyi,Харківська,Красноградський,UA63,UA6306
Kharkiv,Kharkivs'ka,Kharkivska,Kharkivskyi,Харківська,Харківський,UA63,UA6312
Kharkiv,Kharkivs'kyi,Kharkivska,Kharkivskyi,Харківська,Харківський,UA63,UA6312
Kharkiv,Krasnohrads'kyi,Kharkivska,Krasnohradskyi,Харківська,Красноградський,UA63,UA6306
